codigo,titulo,modalidade,nome
25335,Gestão De Incidentes Field Support - 11755457,,Otávio Silveira
25304,Gestão De Incidentes Field Support - 11755457,,Juliana Machado
7714,Gestão De Incidentes Field Support - 11755457,,Laís Pastor
25283,PMO Practitioner - 11744940,,Bárbara Nascimento
22662,PMO Practitioner - 11744940,,Gustavo Henrique Cirino
22626,PMO Practitioner - 11744940,,Vitor Hugo Garcia
22608,PMO Practitioner - 11744940,,Dr. Matteo Camargo
22607,PMO Practitioner - 11744940,,Ravi Lucca Pereira
14591,PMO Practitioner - 11744940,,Mariah Souza
23624,Desenvolvedor Java Spring - 11730086,,Dr. Henry Gabriel Nogueira
26560,Java EE Hybris - 11753315,,Ana Carolina Viana
25322,Java EE Hybris - 11753315,,Dr. Pietro Dias
24309,Datastage - 11739197,,Liam Borges
22085,Datastage - 11739197,,Srta. Sara da Mota
19972,Datastage - 11739197,,Sr. Miguel Sampaio
18121,Datastage - 11739197,,Ayla Vieira
25310,Programador JAVA Senior,,Noah Silva
25268,Programador JAVA Senior,,Pietra Sá
25267,Programador JAVA Senior,,Srta. Maria Liz Vieira
25262,Programador JAVA Senior,,Srta. Eloá Barros
25260,Programador JAVA Senior,,Ana Vitória Viana
25255,Programador JAVA Senior,,Enzo Farias
25194,Programador JAVA Senior,,Liz Carvalho
25026,Programador JAVA Senior,,Sr. Diogo Casa Grande
24970,Programador JAVA Senior,,Gustavo Almeida
24239,Programador JAVA Senior,,Dr. Mateus Mendes
23516,Programador JAVA Senior,,Vitor Gabriel Jesus
21643,Programador JAVA Senior,,Sra. Aurora Novais
21396,Programador JAVA Senior,,Luigi Sousa
19483,Programador JAVA Senior,,Dr. Vitor Gabriel Lopes
15247,Programador JAVA Senior,,Maria Cecília Brito
388,Programador JAVA Senior,,Sr. Enzo Sousa
25666,"Java SR, PL -2021-2602800",,Sra. Helena Sales
25636,"Java SR, PL -2021-2602800",,Sr. Marcos Vinicius da Rocha
25264,"Java SR, PL -2021-2602800",,Nicolas Cavalcante
24988,"Java SR, PL -2021-2602800",,Dr. Thales Sá
24979,"Java SR, PL -2021-2602800",,Srta. Melina Silva
24928,"Java SR, PL -2021-2602800",,Carlos Eduardo Rezende
22845,recrutadora,,Pietro Cirino
26354,Analista QA/Testes – PL,,Dra. Maria Luiza Macedo
25334,Analista QA/Testes – PL,,João Guilherme Fonseca
25303,Analista QA/Testes – PL,,Sra. Heloisa Martins
3081,Analista QA/Testes – PL,,Alana Câmara
25363,J&J -2021-2597245-Cloud-PaaS-AWS-Amazon Web Services-Lead,,Oliver Castro
25631,2021 2607932-DEV JAVASCRIPT Sr-,,Srta. Luana Correia
25598,Product Owner Loyalty,,Dra. Sofia Dias
25338,Product Owner Loyalty,,Mariana Teixeira
25336,Product Owner Loyalty,,Hadassa da Cruz
25325,Product Owner Loyalty,,Liz Cunha
25158,Product Owner Loyalty,,Igor da Cruz
25157,Product Owner Loyalty,,Lucas Gabriel Vieira
24788,Product Owner Loyalty,,Dra. Ana Lívia Vasconcelos
24374,Product Owner Loyalty,,Ana Pacheco
3779,Product Owner Loyalty,,Levi Sampaio
26182,Recrutador Cloud,,Felipe Novais
25604,Recrutador Cloud,,Erick Guerra
25603,Recrutador Cloud,,Olivia Almeida
25371,Recrutador Cloud,,Emilly Teixeira
25369,Recrutador Cloud,,Srta. Maria Isis Cardoso
25368,Recrutador Cloud,,Maria Liz Aragão
25346,Recrutador Cloud,,Dr. Rhavi Freitas
24487,Recrutador Cloud,,Sr. Apollo Sá
24432,Recrutador Cloud,,Srta. Rebeca Aragão
25268,Dev Java - Full Stack - Sr -RE-320296,,Pietra Sá
23516,Dev Java - Full Stack - Sr -RE-320296,,Vitor Gabriel Jesus
21060,Dev Java - Full Stack - Sr -RE-320296,,Dra. Isis Aragão
9048,Dev Java - Full Stack - Sr -RE-320296,,Ana Luiza Pastor
25322,11756083 - Oracle,,Dr. Pietro Dias
20093,11756083 - Oracle,,João Guilherme Pastor
25675,Desenvolvedor Front End - MSC,,Leonardo Silva
21052,Desenvolvedor Front End - MSC,,Theo Peixoto
25361,Arquiteto/consultor de Data Analytics,,Hellena Pacheco
22553,Arquiteto/consultor de Data Analytics,,Sarah Cavalcanti
20903,Arquiteto/consultor de Data Analytics,,Bárbara da Cunha
18077,4329978 - SAP FI,,Dr. Thiago Montenegro
24899,4329025 - SAP MM,,Luiz Miguel Santos
25030,4324369 AS 400,,Mariah Cavalcanti
26228,Dev Java - Sr - RE-320297,,Gabriel Cirino
22767,Dev Java - Sr - RE-320297,,Kaique Gomes
19075,Dev Java - Sr - RE-320297,,Ana Carolina Leão
25269,4297444 - Cobol SR,,Sr. Davi Lucca Lima
20393,4297444 - Cobol SR,,Yasmin da Costa
25810,Analista Mainframe -2021-2597240,,Catarina Ramos
25679,Analista Mainframe -2021-2597240,,Sra. Ana Cecília Fernandes
25100,Analista Mainframe -2021-2597240,,Dra. Emanuella Rodrigues
23287,Analista Mainframe -2021-2597240,,Sr. Isaque Rezende
5191,Analista Mainframe -2021-2597240,,Bruna Moraes
4015,Analista Mainframe -2021-2597240,,Luísa Alves
25383,Analista Mainframe -2021-2596331,,Emilly Monteiro
25348,Analista Mainframe -2021-2596331,,Sr. Davi Lucca Montenegro
25326,Analista Mainframe -2021-2596331,,Dr. Rael Cunha
5115,Analista Mainframe -2021-2596331,,Juliana Peixoto
25953,IND - gerente de projetos,Cooperado,Jade Alves
25921,IND - gerente de projetos,Cooperado,Ana Vitória Castro
25319,IND - gerente de projetos,Cooperado,Ana Cecília Mendes
25347,Consultor SAP SD – SR,,Ravy da Mota
25123,Consultor SAP SD – SR,,Ryan Abreu
21558,Consultor SAP SD – SR,,Ana Sophia Pereira
25925,SAP ABAP PI - 20217613874,,Dr. Gael Leão
25906,SAP ABAP PI - 20217613874,,José Pedro Moreira
21558,SAP ABAP PI - 20217613874,,Ana Sophia Pereira
21871,Analista DBA – SR,,Sr. Guilherme Azevedo
25458,Data Engineering - 11723180,,Nina Câmara
24224,Data Engineering - 11723180,,Sr. Gabriel Fernandes
21257,Data Engineering - 11723180,,Daniel Rezende
20379,Data Engineering - 11723180,,Diego da Mata
9089,Data Engineering - 11723180,,Dra. Brenda Azevedo
24992,Desenvolvedor Back end - MSC,,Juan Araújo
24960,Desenvolvedor Back end - MSC,,Sabrina da Paz
25590,UNIX Administration - 11764469,,Aylla Alves
18847,UNIX Administration - 11764469,,Dr. Levi Porto
18348,UNIX Administration - 11764469,,Melissa Rodrigues
13500,UNIX Administration - 11764469,,Sra. Maria Laura Costa
25376,Business Operations - PMO Practitioner - 11766455,,Dra. Jade da Mata
23261,Business Operations - PMO Practitioner - 11766455,,Daniela Ribeiro
25380,Scrum Master - 11766973,,Sr. Marcos Vinicius da Costa
25379,Scrum Master - 11766973,,Nathan Brito
25526,Analista Contabil - 11766820,,Leandro Cunha
25515,Analista Contabil - 11766820,,Sr. Eduardo Abreu
25356,Analista Contabil - 11766820,,Dr. Gustavo Henrique Viana
25318,Analista Contabil - 11766820,,Isabelly Duarte
25557,Visual Designer PL/SR,,Dra. Maria Cecília Marques
25543,Visual Designer PL/SR,,Dra. Pietra Camargo
25512,UX Designer PL/SR,,Ana Beatriz Camargo
25407,UX Designer PL/SR,,Júlia Alves
25377,UX Designer PL/SR,,Sra. Fernanda da Conceição
25385,SAP IBP,,Sr. Thomas Teixeira
25381,SAP IBP,,Kaique da Mota
25477,Analista Contabil - 11766850,,Srta. Clara Novais
25472,Analista Contabil - 11766850,,Luiz Henrique Dias
25462,Analista Contabil - 11766850,,Mateus Almeida
25453,Analista Contabil - 11766850,,Miguel Garcia
25410,Analista Contabil - 11766850,,Lavínia da Mota
25409,Analista Contabil - 11766850,,Dra. Maria Sales
25408,Analista Contabil - 11766850,,Ana Clara Cardoso
25322,Java Developer - 11766444,,Dr. Pietro Dias
25911,Java Developer - 11763488,,Henry Gabriel Souza
22779,Java Developer - 11763488,,Dra. Rebeca Montenegro
25322,JAVA Developer - 11762508,,Dr. Pietro Dias
19075,JAVA Developer - 11762508,,Ana Carolina Leão
9847,Salesforce Health Cloud developerJ&J,,Brayan Brito
25375,Desenvolvedor .Net Core,,Antony Gonçalves
25374,Desenvolvedor .Net Core,,Cauê Ramos
24703,Desenvolvedor .Net Core,,Camila Rezende
24236,Desenvolvedor .Net Core,,Augusto Vasconcelos
24135,Desenvolvedor .Net Core,,Dr. Marcelo Nascimento
23967,Desenvolvedor .Net Core,,Augusto Vasconcelos
23903,Desenvolvedor .Net Core,,Sr. Davi Lucca Teixeira
23792,Desenvolvedor .Net Core,,Srta. Mariah Sá
23786,Desenvolvedor .Net Core,,Mateus Souza
23324,Desenvolvedor .Net Core,,Dr. Juan Lopes
21126,Desenvolvedor .Net Core,,Ana Lívia Peixoto
25928,Desenvolvedor Java / PL/SQL 11768493,,Dra. Manuella Vieira
25115,Desenvolvedor Java / PL/SQL 11768493,,Murilo Caldeira
22449,Desenvolvedor Java / PL/SQL 11768493,,Maitê Fogaça
11257,Desenvolvedor Java / PL/SQL 11768493,,Marcelo Pereira
19075,Analista DevOps- 11768501,,Ana Carolina Leão
25365,Desenvolvedor Android- 11768279,,Sra. Maria Alice Carvalho
19574,Desenvolvedor Android- 11768279,,Sr. Brayan Martins
18968,Desenvolvedor Android- 11768279,,Rafaela Campos
25389,Conhecimento Do Agronegócio -Business Operations - PMO Practitioner(Pending Doc) - 11768496,,Ravi Lucca Sampaio
3059,Conhecimento Do Agronegócio -Business Operations - PMO Practitioner(Pending Doc) - 11768496,,Lorenzo Freitas
25780,Conhecimento Do Agronegócio -Business Operations - PMO Practitioner(Pending Doc) - 11768496,,Dr. Antônio Sousa
24986,SAP ABAP - SR,,Dra. Maria Julia Ribeiro
25411,Front End Developer SR,,Helena Duarte
23631,Front End Developer SR,,Dr. Henry Moreira
19075,Front End Developer SR,,Ana Carolina Leão
25883,Analista de Sistemas SR,,Luana Mendonça
25882,Analista de Sistemas SR,,Pedro Miguel Lopes
25262,Analista de Sistemas SR,,Srta. Eloá Barros
15247,Analista de Sistemas SR,,Maria Cecília Brito
11074,Analista de Sistemas SR,,Mirella Macedo
26183,Oracle Database Administrator - 11769315,,Nicolas Silveira
15162,Oracle Database Administrator - 11769315,,Dr. Levi Costela
25643,Java Developer Sr (Talend),,Srta. Aurora Ramos
19075,Java Developer Sr (Talend),,Ana Carolina Leão
25661,Oracle SQL - 11769263,,Eloah Pacheco
25135,Oracle SQL - 11769263,,Ana da Luz
24738,Oracle SQL - 11769263,,Dr. Davi Lucca Casa Grande
24664,Oracle SQL - 11769263,,Clarice Aragão
24637,Oracle SQL - 11769263,,Ana Luiza Silveira
24078,Oracle SQL - 11769263,,Sr. Yuri Rios
25403,SAP CCS-VAlter,,Dra. Alexia Castro
22820,SAP CCS-VAlter,,Isabela Cunha
19348,SAP CCS-VAlter,,Dra. Ana Lívia Fernandes
15207,SAP CCS-VAlter,,Sra. Joana Casa Grande
18370,QA Hibrido Senior,,Agatha Lima
25400,Analista Pleno Em Desenvolvimento RPA - 11767730,,Luana Mendes
21308,Analista Pleno Em Desenvolvimento RPA - 11767730,,Luiza Brito
22638,Analistas Senior - Security Red Team - 11770539,,Bruno Almeida
22494,Analistas Senior - Security Red Team - 11770539,,Sara Dias
22347,Analistas Senior - Security Red Team - 11770539,,José Pedro Silveira
26116,Analistas Senior - Security - Governança – Projetos De Segurança - 11770020,,Ana Liz Alves
26115,Analistas Senior - Security - Governança – Projetos De Segurança - 11770020,,Maria Luísa Campos
26063,Analistas Senior - Security - Governança – Projetos De Segurança - 11770020,,Mariah da Paz
26061,Analistas Senior - Security - Governança – Projetos De Segurança - 11770020,,Sr. Léo Pimenta
26060,Analistas Senior - Security - Governança – Projetos De Segurança - 11770020,,Pedro Lucas Peixoto
26059,Analistas Senior - Security - Governança – Projetos De Segurança - 11770020,,Ana Liz Melo
6754,Analistas Senior - Security - Governança – Projetos De Segurança - 11770020,,Dra. Zoe Montenegro
1677,Analistas Senior - Security - Governança – Projetos De Segurança - 11770020,,Milena Ramos
25658,Analistas Senior - Security Blue Team - 11770016,,Matteo da Rosa
21307,Analistas Senior - Security Blue Team - 11770016,,Antony Ribeiro
25521,Analista de Negócios SR - RE-320916,,Dr. Heitor da Rosa
21858,Analista de Negócios SR - RE-320916,,Fernando Rocha
7577,Analista de Negócios SR - RE-320916,,Srta. Cecília Freitas
3079,Analista de Negócios SR - RE-320916,,Sr. Luiz Otávio Gomes
16840,Consultor SAP SD - PL -Convestro_1,,Alícia Santos
25401,Consultor SAP SD - SR -Convestro_1,,Davi Lucas Câmara
23334,Consultor SAP SD - SR -Convestro_1,,Dr. Heitor Cardoso
700,Consultor SAP SD - SR -Convestro_1,,Sr. Rael da Luz
25562,Suporte 1o. nivel - 11732373,,Pedro Lucas Campos
25556,Suporte 1o. nivel - 11732373,,Mariane Aragão
25555,Suporte 1o. nivel - 11732373,,Srta. Emilly Rocha
25554,Suporte 1o. nivel - 11732373,,Isabelly Guerra
25553,Suporte 1o. nivel - 11732373,,Maria Julia da Rosa
25552,Suporte 1o. nivel - 11732373,,Sr. Gustavo Henrique Correia
25535,Suporte 1o. nivel - 11732373,,Yuri Guerra
25534,Suporte 1o. nivel - 11732373,,Sr. Vicente Sá
25533,Suporte 1o. nivel - 11732373,,Dr. João Felipe Cassiano
25406,Suporte 1o. nivel - 11732373,,Dr. Raul Nascimento
24028,Suporte 1o. nivel - 11732373,,Yan da Rosa
24972,SAP FI/GL/AA,,Apollo da Conceição
22935,SAP FI/GL/AA,,Matheus Nogueira
22165,SAP FI/GL/AA,,Ravi Lucca Ribeiro
17318,SAP FI/GL/AA,,Henrique Ferreira
16802,SAP FI/GL/AA,,Dr. Daniel Rocha
9138,ERP Functional Analyst - Oracle Cloud-gocil,,Jade Viana
25404,ATG em projetos de Oracle EBS,,Dr. Mateus Ribeiro
21769,ATG em projetos de Oracle EBS,,Cauã da Costa
6388,ATG em projetos de Oracle EBS,,Dr. Oliver Azevedo
2412,ATG em projetos de Oracle EBS,,Sr. Lucca Cavalcanti
26553,Profissional PS - Pleno -RE 320937,,Henry Peixoto
25402,Profissional PS - Pleno -RE 320937,,Yan Pires
14426,Profissional PS - Pleno -RE 320937,,Kaique Souza
14271,Profissional PS - Pleno -RE 320937,,Laís Vargas
25404,Analista ROnie- 2021 2610282,PJ,Dr. Mateus Ribeiro
25467,IND -2021 2610914,CLT - Estratégico,Sra. Ana Lívia Abreu
19746,2021 2610800- IND,PJ,Srta. Antonella Castro
22872,SAP BW on HANA - 11773311,,Melissa Cavalcanti
18181,SAP BW on HANA - 11773311,,Sara Pastor
21215,Trane position,,Maria Luiza Ferreira
25601,Webmaster - Gestor de sites pleno-senior,,Camila da Cruz
25547,Webmaster - Gestor de sites pleno-senior,,Laís Albuquerque
25518,Webmaster - Gestor de sites pleno-senior,,Ravi Nascimento
25516,Webmaster - Gestor de sites pleno-senior,,Luiz Gustavo Siqueira
12667,Especialista-Desenvolvedor em SAP Analytics Cloud,,Srta. Gabrielly Alves
26052,Especialista Zabbix -RE-309242,,Mateus Siqueira
25792,Especialista Zabbix -RE-309242,,Agatha Cunha
25676,Especialista Zabbix -RE-309242,,Srta. Bella Marques
25476,Especialista Zabbix -RE-309242,,Srta. Eloah Cirino
25474,Especialista Zabbix -RE-309242,,Dra. Letícia Oliveira
14508,Especialista Zabbix -RE-309242,,Liz Cavalcanti
22327,Consultor Mulesoft – PL,,Vinicius Abreu
19321,Consultor Mulesoft – PL,,Pedro Miguel Sá
25923,Data Migration,,Melina da Rocha
25672,Data Migration,,André Sales
25924,Data Migration,,Arthur Gabriel Sales
25922,Data Migration,,Dr. Theo Melo
21558,Data Migration,,Ana Sophia Pereira
17235,Data Migration,,Felipe da Luz
17233,Data Migration,,Dr. Dante Montenegro
13431,Data Migration,,Alícia Almeida
26021,Business Analyst - 11774187,,Léo Silveira
26019,Business Analyst - 11774187,,Oliver Rocha
26018,Business Analyst - 11774187,,Sra. Júlia Garcia
26017,Business Analyst - 11774187,,Sr. Davi Santos
25511,Business Analyst - 11774187,,Dr. Raul Araújo
25510,Business Analyst - 11774187,,Rafaela Moraes
18157,Business Analyst - 11774187,,Sr. Vitor Fernandes
3447,Business Analyst - 11774187,,Dr. Emanuel das Neves
23892,SAP MM - Ingles Mandatorio - 11774567,,Joaquim Peixoto
12504,SAP MM - Ingles Mandatorio - 11774567,,Dr. Luiz Miguel Azevedo
8092,SAP MM - Ingles Mandatorio - 11774567,,Caleb Leão
15,SAP MM - Ingles Mandatorio - 11774567,,Dr. Erick da Rosa
21126,Full Stack - 11775808,,Ana Lívia Peixoto
17862,Full Stack - 11775808,,Joana Cirino
25830,BI - 11773617,,Murilo Andrade
25821,BI - 11773617,,Pedro Porto
25610,BI - 11773617,,Dr. Samuel da Rosa
25898,PASS THRU - assistente administrativo de recrutamento de TI,,Sra. Aylla Garcia
25897,PASS THRU - assistente administrativo de recrutamento de TI,,Vicente Carvalho
25896,PASS THRU - assistente administrativo de recrutamento de TI,,Sarah Barbosa
25875,PASS THRU - assistente administrativo de recrutamento de TI,,Maria Clara Araújo
25677,PASS THRU - assistente administrativo de recrutamento de TI,,Davi Lucas Castro
25620,PASS THRU - assistente administrativo de recrutamento de TI,,Carlos Eduardo Farias
25475,PASS THRU - assistente administrativo de recrutamento de TI,,Dr. Vicente Vargas
25473,PASS THRU - assistente administrativo de recrutamento de TI,,Maria Isis Nogueira
25470,PASS THRU - assistente administrativo de recrutamento de TI,,Rodrigo Andrade
25469,PASS THRU - assistente administrativo de recrutamento de TI,,Srta. Isabelly Aparecida
25468,PASS THRU - assistente administrativo de recrutamento de TI,,Dr. Raul Oliveira
25464,PASS THRU - assistente administrativo de recrutamento de TI,,Cauê Costela
25463,PASS THRU - assistente administrativo de recrutamento de TI,,Isis Guerra
25461,PASS THRU - assistente administrativo de recrutamento de TI,,Matteo Moraes
25561,Desenvolvedor JR JAVA.-conrado,,Emilly Camargo
25560,Desenvolvedor JR JAVA.-conrado,,Ryan Caldeira
25559,Desenvolvedor JR JAVA.-conrado,,Juliana Garcia
25558,Desenvolvedor JR JAVA.-conrado,,Valentim Moraes
25507,Desenvolvedor JR JAVA.-conrado,,Luigi da Cruz
25506,Desenvolvedor JR JAVA.-conrado,,Sr. João Gabriel Fogaça
25503,Desenvolvedor JR JAVA.-conrado,,Thales Montenegro
25310,Desenvolvedor JR JAVA.-conrado,,Noah Silva
25262,Desenvolvedor JR JAVA.-conrado,,Srta. Eloá Barros
25119,Desenvolvedor JR JAVA.-conrado,,Maria Luiza da Conceição
25000,Desenvolvedor JR JAVA.-conrado,,Maria Isis Marques
19574,Desenvolvedor JR JAVA.-conrado,,Sr. Brayan Martins
25783,JD Edwards COnsultant-arthur,,Dr. Breno Sousa
25782,JD Edwards COnsultant-arthur,,Anthony Silva
21043,2021-2605709-Lean Functional Testing-Lead,,André Cirino
26799,AZURE DevOps Test,,Dra. Hadassa Marques
23334,SAP SD Pl / Sr,,Dr. Heitor Cardoso
11466,SAP SD Pl / Sr,,Stella Martins
3175,SAP SD Pl / Sr,,Maria Isis Pimenta
2316,SAP SD Pl / Sr,,Dra. Maria Cecília Leão
29169,Gerenciamento de projetos de TI;,,Isadora Viana
29067,Gerenciamento de projetos de TI;,,Sra. Maya Teixeira
28926,Gerenciamento de projetos de TI;,,Dr. Henrique Nogueira
28854,Gerenciamento de projetos de TI;,,Sra. Laís Costa
28815,Gerenciamento de projetos de TI;,,Mirella das Neves
28622,Gerenciamento de projetos de TI;,,Augusto Peixoto
28537,Gerenciamento de projetos de TI;,,Sofia Moreira
28509,Gerenciamento de projetos de TI;,,Sra. Sophie da Paz
27703,Gerenciamento de projetos de TI;,,Nathan Souza
27698,Gerenciamento de projetos de TI;,,Nicole Novaes
27213,Gerenciamento de projetos de TI;,,Sra. Maria Isis Gonçalves
26086,Gerenciamento de projetos de TI;,,Srta. Maria Júlia Sales
25817,Gerenciamento de projetos de TI;,,Dra. Letícia Vargas
25815,Gerenciamento de projetos de TI;,,Theodoro Teixeira
25528,Gerenciamento de projetos de TI;,,Dr. Matheus Monteiro
25504,Gerenciamento de projetos de TI;,,Gabriela Fernandes
25275,Gerenciamento de projetos de TI;,,Sra. Isabelly Garcia
22621,Gerenciamento de projetos de TI;,,Pietro Novais
21497,Gerenciamento de projetos de TI;,,Enzo Montenegro
15549,Gerenciamento de projetos de TI;,,Francisco Andrade
13782,Gerenciamento de projetos de TI;,,Yago Gomes
13781,Gerenciamento de projetos de TI;,,Dr. Mateus da Mota
7705,Gerenciamento de projetos de TI;,,Sra. Emanuelly Viana
7441,Gerenciamento de projetos de TI;,,Ana Júlia Sousa
7215,Gerenciamento de projetos de TI;,,Dra. Emanuella das Neves
25623,Dev Full Stack,,Helena da Paz
25538,Dev Full Stack,,Sr. Miguel Silveira
25622,Dev Full Stack,,Sr. Breno Jesus
25541,Dev Full Stack,,Enrico Casa Grande
26819,Back End,,José Miguel da Conceição
26110,Back End,,Dra. Luiza Mendonça
25774,Back End,,Mirella Duarte
25773,Back End,,Sra. Olívia da Mota
25770,Back End,,Luiza Martins
25765,Back End,,Mariana Silveira
25593,Back End,,Juliana Pastor
25332,Back End,,Srta. Heloísa Pastor
25051,Back End,,Sra. Ester Jesus
25002,Back End,,Bruno Pires
24812,Back End,,Srta. Agatha Costa
23957,Back End,,Sr. Ryan Sousa
23155,Back End,,Dr. Nicolas Monteiro
22640,Back End,,Sr. Juan Alves
22204,Back End,,João Costela
22143,Back End,,Srta. Lavínia Gomes
20314,Back End,,Vinicius da Luz
19286,Back End,,Caleb Montenegro
18485,Back End,,Oliver Aparecida
15469,Back End,,Sophie da Luz
25809,Front End,,Dr. Henry Gabriel Vasconcelos
25633,Front End,,Dr. Arthur Gabriel Lima
24990,Front End,,Mathias Peixoto
24480,Front End,,Cecilia Teixeira
24088,Front End,,Alexandre Nunes
27905,Test Automation Engineer,,Sra. Lunna da Costa
26799,Test Automation Engineer,,Dra. Hadassa Marques
26680,Test Automation Engineer,,Giovanna Cunha
26354,Test Automation Engineer,,Dra. Maria Luiza Macedo
24023,Test Automation Engineer,,Samuel Borges
11132,Test Automation Engineer,,Bruna Abreu
474,Test Automation Engineer,,Srta. Marcela Vasconcelos
27243,Test Automation,,Maysa Abreu
25800,Test Automation,,Dra. Manuella Oliveira
25133,Test Automation,,Eloah Rodrigues
28916,Test Manual,,Isadora Monteiro
28309,Test Manual,,João Gabriel das Neves
28002,Test Manual,,Sr. Diego Dias
27991,Test Manual,,Sarah da Paz
27986,Test Manual,,Dr. Juan da Mota
27984,Test Manual,,Marcela Pastor
27243,Test Manual,,Maysa Abreu
26799,Test Manual,,Dra. Hadassa Marques
26660,Test Manual,,Davi Fernandes
26525,Test Manual,,Dra. Marcela Brito
26205,Test Manual,,Isabella da Cruz
17032,Test Manual,,Dra. Manuella Rios
13606,Test Manual,,Maria Luísa Câmara
13322,Test Manual,,Alexia Lima
11908,Test Manual,,Milena Moura
352,Test Manual,,Raquel Teixeira
25565,Arquiteto de Soluções - SR -RE-322904,,Sra. Rebeca Viana
23297,Arquiteto de Soluções - SR -RE-322904,,Dra. Luísa Teixeira
20765,analista programador Cobol Sr-Cash,,Thales Gonçalves
5054,analista programador Cobol Sr-Cash,,Luiz Otávio Pacheco
24769,Business Analysis,,Sr. Theo Pires
18223,Business Analysis,,Elisa da Cunha
10445,Business Analysis,,Dr. Henrique Azevedo
5075,Business Analysis,,Srta. Alice Cardoso
28376,DEVOPS AWS,,Sr. Arthur Miguel Pastor
26830,DEVOPS AWS,,Vinícius Cunha
25656,DEVOPS AWS,,Sr. João Pedro Câmara
25651,DEVOPS AWS,,Maria Julia das Neves
25650,DEVOPS AWS,,Marcelo Siqueira
25646,DEVOPS AWS,,Srta. Mariah Casa Grande
25644,DEVOPS AWS,,Srta. Jade Freitas
25642,DEVOPS AWS,,Theodoro Nogueira
25640,DEVOPS AWS,,Fernanda Farias
25626,DEVOPS AWS,,Augusto Câmara
24182,DEVOPS AWS,,Dante Vargas
22594,DEVOPS AWS,,Sra. Maria Laura Rezende
18908,DEVOPS AWS,,Sr. Oliver Teixeira
16977,DEVOPS AWS,,Oliver Santos
26577,Desenvolvedor Java Back-End ou Full Stack-,,Isabela Azevedo
26575,Desenvolvedor Java Back-End ou Full Stack-,,Raul Aparecida
26574,Desenvolvedor Java Back-End ou Full Stack-,,Lívia Martins
26551,Desenvolvedor Java Back-End ou Full Stack-,,Dr. Lucas Alves
26327,Desenvolvedor Java Back-End ou Full Stack-,,Arthur Gabriel da Cruz
25643,Desenvolvedor Java Back-End ou Full Stack-,,Srta. Aurora Ramos
25268,Desenvolvedor Java Back-End ou Full Stack-,,Pietra Sá
24997,Desenvolvedor Java Back-End ou Full Stack-,,Rael Castro
23516,Desenvolvedor Java Back-End ou Full Stack-,,Vitor Gabriel Jesus
16087,Desenvolvedor Java Back-End ou Full Stack-,,Dr. Nicolas Sousa
388,Desenvolvedor Java Back-End ou Full Stack-,,Sr. Enzo Sousa
25887,Desenvolvedor RPG / Cobol - Application Developer - 11779532,,Pedro Lucas Pinto
26617,Líder Técnico - 11780029,,Maria Luísa Aragão
25776,Scrum Master - 11775097,,Yuri Mendes
25048,Scrum Master - 11775097,,Sra. Cecilia Novais
15425,Scrum Master - 11775097,,Dra. Olivia Teixeira
19483,Java Programming - 11782080,,Dr. Vitor Gabriel Lopes
1444,Java Programming - 11782080,,Sra. Larissa Fernandes
25895,Consultor SAP WM - JR -RE-322958,,Yuri Melo
25563,Consultor SAP WM - JR -RE-322958,,Levi Aragão
24289,Consultor SAP WM - JR -RE-322958,,Clarice Guerra
